                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54273,                  2.439,                0.26303,                0.45137,                 1.0153,                0.91614,                0.90476,                0.97705,                0.76901,                0.78022,                 0.7619,                0.77952,                0.48597,                0.86633,                 2.6626,                0.11427,                0.53146,                 1.3729,                0.00018,                0.00018,                0.00018
                      2,                0.54064,                 2.3942,                0.26433,                0.44222,                 1.0064,                0.90693,                0.92866,                0.98276,                0.76417,                0.76907,                0.80952,                0.79753,                0.42685,                0.85826,                 2.6174,                0.09412,                0.57472,                 1.3602,             0.00037975,             0.00037975,             0.00037975
                      3,                0.49663,                 2.2635,                0.28335,                0.40618,                0.98827,                      1,                0.95215,                 0.9886,                  0.762,                0.80767,                0.80952,                0.75156,                0.43781,                0.88135,                 2.5617,                0.09866,                0.56201,                 1.3982,             0.00057923,             0.00057923,             0.00057923
                      4,                0.51641,                 2.2938,                0.27645,                0.42222,                0.97811,                0.91043,                      1,                0.98914,                 0.7635,                0.70123,                0.67075,                0.69003,                0.42159,                0.90479,                 2.6993,                0.11516,                0.55394,                 1.4075,             0.00077846,             0.00077846,             0.00077846
                      5,                0.49796,                 2.3092,                0.25975,                0.42485,                0.95586,                0.87478,                0.99807,                0.97487,                0.70216,                 0.7276,                0.61905,                0.65554,                0.39255,                  1.094,                 2.9903,                0.15617,                0.57107,                 1.6675,             0.00097741,             0.00097741,             0.00097741
                      6,                0.52029,                 2.4217,                 0.2621,                0.44175,                0.98141,                0.97262,                0.90476,                0.98493,                0.72435,                0.85316,                0.83061,                0.86933,                0.44572,                 1.0454,                 2.6981,                0.14589,                0.59467,                  1.539,              0.0011761,              0.0011761,              0.0011761
                      7,                0.50129,                 2.2973,                0.25467,                0.41912,                0.97638,                 0.9216,                0.90476,                0.98405,                0.74075,                0.71679,                0.85714,                0.82275,                0.43783,                0.96406,                  2.726,                0.12045,                0.66044,                 1.3914,              0.0013745,              0.0013745,              0.0013745
                      8,                0.53013,                 2.3878,                0.25816,                0.44429,                 1.0053,                0.92918,                0.90476,                0.97829,                0.73163,                0.77466,                 0.7619,                0.77056,                 0.3647,                0.97904,                 2.9666,                0.14773,                0.72417,                 1.3947,              0.0015727,              0.0015727,              0.0015727
                      9,                0.57431,                 2.6582,                0.26671,                 0.4699,                 1.0263,                0.94085,                0.95238,                 0.9722,                0.70429,                0.75071,                 0.7619,                0.71256,                 0.4093,                0.98253,                 2.9261,                0.12755,                0.73727,                 1.4313,              0.0017706,              0.0017706,              0.0017706
                     10,                0.57829,                 2.5299,                 0.2508,                0.46224,                   1.03,                0.95168,                0.93828,                0.97897,                0.68091,                0.75888,                0.74981,                0.72707,                0.45656,                0.95285,                 2.7216,                0.09237,                0.64693,                 1.3208,              0.0019682,              0.0019682,              0.0019682
                     11,                0.56693,                 2.4417,                 0.2558,                0.45306,                 1.0096,                0.87122,                      1,                0.98375,                0.71337,                0.66337,                 0.7619,                 0.7199,                0.41577,                0.96241,                 2.7584,                0.09559,                0.57991,                 1.3323,              0.0019868,              0.0019868,              0.0019868
                     12,                0.59128,                 2.5265,                 0.2609,                0.48434,                 1.0222,                0.99499,                      1,                  0.995,                0.74582,                0.82729,                0.85714,                 0.8046,                0.46249,                0.90744,                 2.6297,                0.09432,                0.54207,                 1.3318,              0.0019868,              0.0019868,              0.0019868
                     13,                0.58649,                 2.6087,                0.24602,                0.46392,                 1.0116,                0.97639,                      1,                  0.995,                0.72181,                0.78874,                0.80952,                0.74848,                0.43322,                0.97492,                 2.6624,                0.09721,                0.51813,                 1.4089,              0.0019855,              0.0019855,              0.0019855
                     14,                 0.5794,                 2.4807,                0.25644,                0.46372,                 1.0229,                0.90771,                0.95238,                0.98045,                0.66846,                0.72762,                 0.7619,                0.71788,                0.38756,                 1.0305,                  2.962,                0.09916,                0.70115,                 1.5137,              0.0019842,              0.0019842,              0.0019842
                     15,                0.59563,                  2.518,                0.25305,                0.51008,                   1.03,                      1,                0.93005,                  0.979,                0.68981,                0.77736,                0.71429,                0.65671,                0.34973,                 1.0044,                 3.1498,                   0.11,                0.68742,                 1.4887,              0.0019828,              0.0019828,              0.0019828
                     16,                0.61712,                 2.5587,                 0.2621,                0.51162,                 1.0456,                0.85736,                      1,                0.97675,                0.72914,                0.71361,                0.71429,                0.72185,                0.33999,                0.92488,                 3.1321,                0.12834,                0.59205,                 1.4133,              0.0019815,              0.0019815,              0.0019815
                     17,                0.59606,                 2.6542,                0.25174,                0.48163,                 1.0238,                0.83894,                      1,                0.96819,                0.70102,                0.72121,                 0.7619,                0.72536,                0.36883,                0.95302,                 3.2257,                0.14059,                0.63407,                 1.4016,              0.0019802,              0.0019802,              0.0019802
                     18,                0.57178,                 2.5532,                0.26302,                0.48437,                  1.006,                0.82608,                0.95238,                0.94628,                0.70093,                0.76918,                0.71429,                 0.7267,                0.42785,                 1.0125,                 2.8804,                0.10672,                0.72403,                 1.4096,              0.0019789,              0.0019789,              0.0019789
                     19,                0.59435,                 2.4823,                 0.2551,                0.50518,                 1.0527,                0.84203,                0.95238,                0.94722,                0.69426,                0.69178,                 0.7619,                0.68763,                0.41903,                0.97893,                 2.6879,                0.09016,                0.78206,                 1.4872,              0.0019776,              0.0019776,              0.0019776
                     20,                0.58708,                 2.7751,                0.26367,                0.47984,                 1.0247,                0.88103,                      1,                 0.9663,                0.72806,                0.70623,                 0.7619,                0.65923,                0.34397,                0.99257,                 2.9304,                0.09896,                0.64461,                 1.4953,              0.0019762,              0.0019762,              0.0019762
                     21,                0.61475,                 2.5168,                0.26072,                0.48667,                 1.0533,                0.92474,                0.95238,                0.98438,                0.74145,                 0.7896,                 0.7619,                0.74325,                0.38092,                 0.9539,                 2.8905,                0.11318,                0.63342,                 1.4505,              0.0019749,              0.0019749,              0.0019749
                     22,                0.61783,                 2.5096,                0.25755,                0.49933,                 1.0312,                0.95202,                0.95238,                0.97119,                 0.6381,                0.80363,                0.80952,                 0.7903,                0.39698,                 1.1022,                  2.854,                0.10054,                0.71946,                 1.4783,              0.0019736,              0.0019736,              0.0019736
                     23,                0.61719,                 2.5186,                0.26909,                0.48981,                 1.0578,                 0.9941,                0.85714,                0.93876,                0.67479,                0.78552,                0.80952,                0.75238,                0.33981,                 1.1268,                 3.0267,                0.09191,                0.64951,                 1.5745,              0.0019723,              0.0019723,              0.0019723
                     24,                0.60414,                  2.696,                0.28989,                0.49659,                 1.0276,                0.83441,                      1,                0.96275,                0.74187,                0.81696,                0.57143,                0.59128,                0.36188,                0.82246,                 3.2574,                0.08591,                0.58114,                 1.2983,               0.001971,               0.001971,               0.001971
                     25,                0.57837,                 2.4392,                0.25343,                0.46404,                 1.0261,                0.83255,                      1,                0.95982,                0.75891,                0.58024,                 0.7619,                0.67961,                0.40995,                 0.8903,                 3.1152,                 0.0896,                0.56095,                 1.4418,              0.0019696,              0.0019696,              0.0019696
                     26,                0.57972,                 2.5478,                 0.2689,                0.49255,                 1.0183,                0.93896,                      1,                0.98455,                0.75823,                0.71764,                 0.7266,                0.70036,                0.38401,                0.88106,                 2.9497,                 0.0924,                0.56372,                 1.3744,              0.0019683,              0.0019683,              0.0019683
                     27,                0.57482,                 2.5615,                0.25175,                0.47742,                 1.0212,                0.86821,                      1,                0.97636,                0.70596,                 0.8235,                0.66655,                0.70344,                0.33984,                0.97258,                 3.1381,                0.08394,                  0.588,                 1.3933,               0.001967,               0.001967,               0.001967
                     28,                0.58889,                 2.6145,                 0.2836,                0.49736,                 1.0493,                0.94423,                0.95238,                0.98438,                0.64689,                 0.8337,                0.66667,                0.64776,                0.37373,                 1.0777,                 3.1677,                0.12714,                0.69256,                 1.4739,              0.0019657,              0.0019657,              0.0019657
                     29,                0.58102,                 2.4037,                0.25451,                0.47861,                 1.0042,                0.86363,                0.95238,                0.97556,                  0.678,                0.87203,                0.64971,                0.68896,                0.41351,                 1.1458,                 3.1955,                0.12887,                0.64632,                 1.5982,              0.0019644,              0.0019644,              0.0019644
                     30,                0.58753,                 2.4004,                0.25613,                0.51863,                 1.0071,                0.86697,                0.95238,                0.97005,                 0.6839,                0.80503,                0.59059,                0.62626,                0.37445,                 1.1522,                 3.4945,                0.14121,                0.64751,                 1.5175,               0.001963,               0.001963,               0.001963
                     31,                0.58784,                 2.3915,                 0.2551,                0.48278,                 1.0202,                0.97252,                0.95238,                0.98397,                0.72408,                 0.7959,                0.66667,                0.70471,                0.39675,                 1.0041,                 3.1606,                0.13591,                0.59103,                 1.4048,              0.0019617,              0.0019617,              0.0019617
