                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79625,                 1.6822,                0.67107,                 1.1036,                0.71782,                0.60976,                 0.6471,                 0.3721,                 0.7739,                 0.5844,                 0.6076,                0.26605,                 1.4904,                 3.1051,                 1.3476,                 1.6808,                0.00024,                0.00024,                0.00024
                      2,                0.78379,                 1.6978,                 0.6334,                 1.0931,                0.80026,                0.70732,                0.73728,                0.47688,                0.84149,                0.63415,                0.71543,                0.37286,                 1.2623,                 2.6937,                 1.1013,                 1.4882,             0.00049802,             0.00049802,             0.00049802
                      3,                0.80177,                  1.721,                0.65555,                 1.0843,                0.68707,                0.80488,                0.74937,                 0.4845,                0.82326,                0.73171,                0.76756,                0.38689,                 1.1759,                  2.604,                 1.0663,                 1.4546,             0.00075398,             0.00075398,             0.00075398
                      4,                0.81157,                 1.7189,                 0.6493,                 1.1083,                0.75426,                0.68293,                0.69463,                0.41397,                0.75426,                0.68293,                0.69034,                0.33773,                  1.332,                 2.5852,                 1.2855,                 1.5722,              0.0010079,              0.0010079,              0.0010079
                      5,                0.78904,                 1.6974,                0.65321,                 1.0922,                0.74266,                0.63351,                0.69801,                0.39582,                0.59282,                0.65854,                0.63781,                0.30348,                 1.4014,                 2.7438,                  1.201,                 1.5393,              0.0012597,              0.0012597,              0.0012597
                      6,                0.80844,                 1.7221,                0.66347,                 1.0827,                0.78424,                0.68293,                0.75238,                0.48558,                0.74636,                0.63415,                0.70345,                0.34014,                  1.347,                 3.0877,                 1.2023,                 1.5092,              0.0015095,              0.0015095,              0.0015095
                      7,                0.84459,                 1.8062,                 0.6788,                 1.1134,                0.74278,                0.73171,                0.73578,                0.46695,                0.62121,                0.60976,                0.60015,                 0.2629,                 1.3061,                 3.3093,                 1.2004,                 1.5313,              0.0017572,              0.0017572,              0.0017572
                      8,                0.81779,                 1.8395,                0.66956,                 1.0881,                0.80209,                0.82927,                0.78428,                0.50455,                0.81411,                0.74789,                0.74075,                0.36881,                  1.262,                 2.9914,                 1.1405,                 1.4526,              0.0019446,              0.0019446,              0.0019446
                      9,                0.84759,                 1.9195,                0.69677,                 1.1032,                0.74686,                0.73171,                0.74942,                0.42483,                0.71895,                0.70732,                0.70128,                0.35276,                 1.3301,                 3.0551,                 1.2341,                 1.5172,              0.0019446,              0.0019446,              0.0019446
                     10,                0.84172,                 1.8423,                 0.6935,                 1.0953,                0.81386,                0.60976,                0.68859,                 0.4387,                0.64023,                0.60769,                0.60203,                0.34757,                 1.2848,                 2.9895,                 1.3135,                 1.5646,              0.0019366,              0.0019366,              0.0019366
                     11,                0.85577,                  1.835,                0.70764,                 1.1234,                0.80132,                0.65854,                0.73083,                0.40334,                0.82147,                0.63415,                0.70352,                0.34237,                 1.3873,                 2.7166,                  1.516,                 1.6503,              0.0019287,              0.0019287,              0.0019287
                     12,                0.85434,                  1.809,                 0.7062,                 1.1193,                0.90694,                0.53659,                0.69166,                0.45268,                 0.8641,                 0.5122,                0.64529,                0.33252,                 1.3646,                  2.733,                 1.2086,                 1.6544,              0.0019208,              0.0019208,              0.0019208
