,rank,exchangeId,exchangeName,exchangeSlug,volumePercent,volumeQuote,isVerified,marketUrl,effectiveLiquidity,lastUpdated,marketPair,price
0,1,270,Binance,binance,12.967425192161,4249747557.063665,1,https://www.binance.com/en/trade/BTC_FDUSD,968.0,2024-02-21T09:26:29.000Z,BTC/FDUSD,51453.58275588
1,2,270,Binance,binance,7.680151646342,2523623222.6200624,1,https://www.binance.com/en/trade/BTC_USDT,1057.0,2024-02-21T09:26:22.000Z,BTC/USDT,51459.51282311
2,3,294,OKX,okx,2.560399267232,841322326.3688529,1,https://www.okx.com/trade-spot/btc-usdt,747.0,2024-02-21T09:26:22.000Z,BTC/USDT,51466.04176279
3,4,521,Bybit,bybit,2.456321358059,806938169.0013309,1,https://www.bybit.com/en-US/trade/spot/BTC/USDT,721.0,2024-02-21T09:26:29.000Z,BTC/USDT,51472.04078853
4,5,89,Coinbase Exchange,coinbase-exchange,2.302600931736,756412929.9943476,1,https://exchange.coinbase.com/trade/BTC-USD,895.0,2024-02-21T09:26:22.000Z,BTC/USD,51474.11
5,6,24,Kraken,kraken,0.649501988785,213363807.684985,1,https://pro.kraken.com/app/trade/xbt-usd,797.0,2024-02-21T09:26:29.000Z,XBT/USD,51500.0
6,7,270,Binance,binance,0.472436955102,3019.41409088,1,https://www.binance.com/en/trade/ETH_BTC,781.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.789530985916
7,8,270,Binance,binance,0.157900037165,51874368.0294186,1,https://www.binance.com/en/trade/BTC_USDC,858.0,2024-02-21T09:26:22.000Z,BTC/USDC,51463.41031056
8,9,24,Kraken,kraken,0.157981858949,48075105.88681023,1,https://pro.kraken.com/app/trade/xbt-eur,774.0,2024-02-21T09:26:29.000Z,XBT/EUR,51462.69320295
9,10,270,Binance,binance,0.121820882581,41019319.195868,1,https://www.binance.com/en/trade/BTC_TUSD,800.0,2024-02-21T09:26:22.000Z,BTC/TUSD,51475.46228409
10,11,521,Bybit,bybit,1.560026089203,512467970.0239377,1,https://www.bybit.com/en-US/trade/spot/BTC/USDC,642.0,2024-02-21T09:26:29.000Z,BTC/USDC,51454.71417164
11,12,311,KuCoin,kucoin,1.387873852838,455937242.0630624,1,https://www.kucoin.com/trade/BTC-USDT,700.0,2024-02-21T09:26:29.000Z,BTC/USDT,51454.64361388
12,13,302,Gate.io,gate-io,1.012538623829,332710355.54513,1,https://gate.io/trade/btc_usdt,698.0,2024-02-21T09:26:22.000Z,BTC/USDT,51464.24205506
