x_value,total_1,total_2
0,1000,1000
1,1001,995
2,996,996
3,1002,993
4,1007,998
5,1008,1001
6,1009,1006
7,1012,1011
8,1012,1012
9,1006,1011
10,1005,1009
11,1007,1004
12,1002,1008
13,1006,1004
14,1002,1004
15,1008,1010
16,1008,1013
17,1015,1016
18,1011,1012
19,1014,1012
20,1015,1008
21,1010,1014
22,1016,1014
23,1011,1011
24,1017,1011
25,1016,1013
26,1023,1019
27,1030,1024
28,1035,1023
29,1036,1029
30,1037,1030
31,1045,1033
32,1042,1032
33,1041,1030
34,1037,1030
35,1042,1031
36,1038,1028
37,1044,1034
38,1052,1032
39,1048,1034
40,1055,1037
41,1052,1039
42,1049,1040
43,1046,1046
44,1040,1048
45,1034,1053
46,1031,1051
47,1034,1055
48,1035,1053
49,1034,1055
50,1037,1058
51,1039,1055
52,1041,1051
53,1049,1047
54,1044,1047
55,1038,1052
56,1032,1050
57,1036,1050
58,1035,1054
59,1039,1055
60,1047,1055
61,1042,1057
62,1047,1058
63,1048,1061
64,1051,1067
65,1050,1067
66,1057,1065
67,1056,1066
68,1060,1061
69,1054,1061
70,1058,1064
71,1056,1064
72,1055,1066
73,1053,1063
74,1059,1059
75,1062,1059
76,1056,1065
77,1050,1071
78,1056,1068
79,1064,1068
80,1068,1072
81,1075,1072
82,1073,1076
83,1067,1080
84,1065,1077
85,1070,1073
86,1074,1077
87,1076,1072
88,1078,1073
89,1073,1070
90,1069,1071
91,1069,1066
92,1071,1069
93,1068,1068
94,1068,1074
95,1065,1069
96,1070,1073
97,1067,1071
98,1074,1071
99,1081,1075
100,1082,1071
101,1085,1076
102,1087,1080
103,1094,1077
104,1091,1074
105,1089,1078
106,1087,1076
107,1093,1071
108,1091,1069
109,1099,1073
110,1099,1073
111,1105,1074
112,1102,1075
113,1101,1077
114,1107,1079
115,1113,1074
116,1113,1069
117,1107,1068
118,1113,1067
119,1120,1068
120,1117,1067
121,1118,1062
122,1115,1062
123,1110,1062
124,1110,1065
125,1107,1065
126,1109,1062
127,1105,1062
128,1104,1059
129,1101,1056
130,1108,1051
131,1114,1046
132,1122,1049
133,1120,1054
134,1126,1052
135,1122,1054
136,1117,1049
137,1113,1053
138,1119,1059
139,1125,1056
140,1125,1051
141,1129,1057
142,1125,1058
143,1125,1063
144,1127,1065
145,1131,1065
146,1125,1066
147,1133,1070
148,1131,1067
149,1136,1064
150,1137,1059
151,1139,1056
152,1137,1059
153,1132,1063
154,1133,1067
155,1130,1064
156,1135,1064
157,1131,1064
158,1127,1064
159,1132,1062
160,1140,1060
161,1136,1057
162,1133,1059
163,1130,1056
164,1135,1060
165,1136,1056
166,1141,1055
167,1137,1054
168,1141,1049
169,1141,1053
170,1141,1059
171,1147,1054
172,1142,1057
173,1136,1057
174,1140,1055
175,1134,1052
176,1141,1056
177,1140,1058
178,1142,1055
179,1148,1053
180,1155,1054
181,1149,1050
182,1154,1048
183,1151,1050
184,1156,1053
185,1155,1051
186,1155,1050
187,1152,1055
188,1150,1052
189,1148,1051
190,1145,1051
