marketPair,max_price,min_price
CASH/XMR,969.6375140504076,969.6375140504076
DERO/XMR,126.68367758288692,126.68367758288692
PRCY/XMR,120.49563218390804,120.49563218390804
XMR/AED,120.10375103,120.10375103
XMR/BNB,117.57198926,117.57198926
XMR/BRL,122.8515189,122.8515189
XMR/BTC,1029.22268575,23.1045475
XMR/BTS,98.22272308,98.22272308
XMR/DAI,128.92322944,128.92322944
XMR/ETH,123.74886003,114.35657888
XMR/EUR,119.93264995,119.86864951
XMR/IDR,125.04054262,125.04054262
XMR/INR,160.14885664,126.62981339
XMR/LTC,165.07003689,120.03046159516676
XMR/SCC,153.39816889,153.39816889
XMR/SGD,120.19951687,120.19951687
XMR/THB,85.25073862,85.25073862
XMR/TUSD,119.8651565,119.8651565
XMR/USD,121.3,119.94
XMR/USDC,119.79681037,109.45140371
XMR/USDT,141.97694253,109.22809962
XMR/VNDC,122.79236946,122.79236946
XMR/XBT,119.99956519,119.99956519
XMR/XRP,91.82064645,91.82064645
XMR/ZAR,122.70322828,122.70322828
ZEPH/XMR,122.5660700926909,122.5660700926909
