word,percentage
that,3.635
would,1.763
universe,1.432
have,1.244
this,1.109
time,1.078
with,0.919
from,0.815
which,0.755
there,0.739
they,0.731
theory,0.712
other,0.702
black,0.646
light,0.601
could,0.543
particles,0.53
were,0.516
will,0.5
very,0.482
only,0.479
however,0.471
like,0.434
than,0.429
more,0.426
same,0.41
what,0.397
because,0.395
these,0.392
been,0.389
energy,0.389
hole,0.381
when,0.373
million,0.371
between,0.363
space,0.336
such,0.336
matter,0.336
about,0.331
different,0.32
each,0.315
stars,0.307
into,0.304
force,0.291
gravitational,0.289
quantum,0.286
earth,0.283
relativity,0.281
particle,0.278
their,0.275
star,0.27
might,0.267
gravity,0.267
laws,0.265
some,0.259
spacetime,0.259
holes,0.257
even,0.249
much,0.249
just,0.244
state,0.244
first,0.241
must,0.241
waves,0.241
also,0.238
should,0.238
mass,0.238
principle,0.236
then,0.233
general,0.23
number,0.228
them,0.225
called,0.214
years,0.199
speed,0.199
possible,0.196
made,0.185
idea,0.185
event,0.183
theories,0.18
direction,0.18
distance,0.18
therefore,0.177
form,0.175
travel,0.175
forces,0.172
science,0.172
galaxies,0.169
bang,0.169
fact,0.167
point,0.164
before,0.164
back,0.162
most,0.159
model,0.159
moving,0.159
down,0.156
does,0.156
large,0.156
rate,0.156
second,0.154
small,0.154
thus,0.154
cannot,0.154
around,0.151
beginning,0.151
make,0.151
still,0.151
real,0.151
boundary,0.148
singularity,0.148
chapter,0.146
strong,0.146
early,0.146
know,0.146
people,0.146
rather,0.146
expanding,0.143
past,0.143
away,0.14
mechanics,0.135
complete,0.132
another,0.132
infinite,0.13
body,0.13
always,0.127
together,0.127
example,0.127
expansion,0.127
means,0.124
galaxy,0.124
collapse,0.124
case,0.124
thousand,0.124
three,0.122
unified,0.122
later,0.122
position,0.122
many,0.122
string,0.122
being,0.119
electrons,0.119
uncertainty,0.116
regions,0.116
according,0.116
observe,0.116
times,0.114
over,0.114
eventually,0.114
after,0.114
history,0.111
every,0.111
since,0.111
radiation,0.111
order,0.111
work,0.111
density,0.111
quarks,0.111
future,0.109
thought,0.109
found,0.109
field,0.109
initial,0.106
really,0.106
known,0.106
high,0.106
certain,0.106
through,0.106
single,0.103
events,0.103
numbers,0.103
effect,0.103
temperature,0.103
weak,0.103
surface,0.101
region,0.101
size,0.101
rays,0.101
arrow,0.098
well,0.098
least,0.098
instead,0.095
seems,0.095
able,0.095
predictions,0.095
enough,0.095
histories,0.095
disorder,0.095
orbits,0.093
long,0.093
started,0.093
less,0.093
dimensions,0.093
newton,0.09
come,0.09
imaginary,0.09
exactly,0.09
bodies,0.09
objects,0.09
present,0.09
atoms,0.09
einstein,0.087
find,0.087
predicted,0.087
whole,0.087
attraction,0.087
measure,0.087
spin,0.087
observations,0.085
seem,0.085
observed,0.085
both,0.085
look,0.085
similar,0.085
nuclear,0.085
phase,0.085
symmetry,0.085
four,0.082
within,0.082
planets,0.082
smaller,0.082
showed,0.082
life,0.082
system,0.079
given,0.079
great,0.079
change,0.079
horizon,0.079
appear,0.079
newtons,0.079
singularities,0.079
virtual,0.079
round,0.077
figure,0.077
never,0.077
toward,0.077
question,0.077
electromagnetic,0.077
zero,0.077
negative,0.077
without,0.074
increase,0.074
world,0.074
whether,0.074
believed,0.074
orbit,0.074
hand,0.074
right,0.074
amount,0.074
wavelength,0.074
wave,0.074
positive,0.074
book,0.071
physics,0.071
where,0.071
described,0.071
finite,0.071
explain,0.071
evidence,0.071
nucleus,0.071
energies,0.071
protons,0.071
picture,0.069
longer,0.069
completely,0.069
said,0.069
left,0.069
apart,0.069
either,0.069
place,0.069
particular,0.069
shall,0.069
take,0.069
faster,0.069
electron,0.069
fall,0.066
problem,0.066
discovery,0.066
conditions,0.066
greater,0.066
constant,0.066
allow,0.066
neutron,0.066
words,0.064
think,0.064
seen,0.064
describe,0.064
forward,0.064
above,0.064
observer,0.064
predict,0.064
those,0.064
suppose,0.064
human,0.064
scientific,0.064
result,0.064
difficult,0.064
give,0.064
absolute,0.064
near,0.064
observers,0.064
start,0.064
proton,0.064
entropy,0.064
galileo,0.061
einsteins,0.061
believe,0.061
century,0.061
outside,0.061
everything,0.061
indeed,0.061
suggested,0.061
contracting,0.061
though,0.061
itself,0.061
exist,0.061
answer,0.061
directions,0.061
models,0.061
inflationary,0.061
important,0.058
background,0.058
motion,0.058
paths,0.058
although,0.058
expect,0.058
until,0.058
agree,0.058
miles,0.058
gamma,0.058
higher,0.058
paper,0.058
emitted,0.058
rotating,0.058
neutrons,0.058
primordial,0.058
thermodynamic,0.058
uniform,0.056
tell,0.056
north,0.056
cosmological,0.056
complicated,0.056
went,0.056
forever,0.056
earlier,0.056
next,0.056
effects,0.056
again,0.056
terms,0.056
source,0.056
classical,0.056
part,0.053
smooth,0.053
center,0.053
under,0.053
difference,0.053
positions,0.053
nearly,0.053
correct,0.053
existence,0.053
sense,0.053
object,0.053
curvature,0.053
hundred,0.053
ordinary,0.053
moreover,0.053
critical,0.053
emission,0.053
limit,0.053
atom,0.053
inside,0.053
anthropic,0.053
grand,0.05
dont,0.05
good,0.05
directly,0.05
carried,0.05
move,0.05
created,0.05
explained,0.05
happens,0.05
mean,0.05
partial,0.05
call,0.05
states,0.05
escape,0.05
become,0.05
similarly,0.05
increases,0.05
during,0.05
condition,0.05
something,0.048
proposal,0.048
moon,0.048
certainly,0.048
came,0.048
almost,0.048
seemed,0.048
happen,0.048
slightly,0.048
line,0.048
already,0.048
beings,0.048
determine,0.048
used,0.048
astronaut,0.048
radio,0.048
mathematical,0.048
curved,0.048
hydrogen,0.048
pieces,0.048
disordered,0.048
cosmic,0.045
based,0.045
possibility,0.045
having,0.045
development,0.045
realized,0.045
themselves,0.045
fixed,0.045
provided,0.045
discovered,0.045
probably,0.045
became,0.045
today,0.045
distant,0.045
cause,0.045
remember,0.045
elements,0.045
water,0.045
predicts,0.045
need,0.045
produce,0.045
value,0.045
visible,0.045
velocity,0.045
stop,0.045
kind,0.045
formed,0.045
antiparticles,0.045
broken,0.045
backward,0.045
unification,0.042
little,0.042
course,0.042
fundamental,0.042
understand,0.042
turn,0.042
against,0.042
heat,0.042
reason,0.042
property,0.042
structure,0.042
measured,0.042
nobel,0.042
gets,0.042
special,0.042
consistent,0.042
friedmann,0.042
avoid,0.042
cambridge,0.042
occur,0.042
antiquarks,0.042
emit,0.042
ordered,0.042
strings,0.042
situations,0.04
view,0.04
further,0.04
scientist,0.04
orbiting,0.04
caused,0.04
twice,0.04
account,0.04
clear,0.04
path,0.04
close,0.04
several,0.04
farther,0.04
extra,0.04
distances,0.04
contain,0.04
pointed,0.04
simply,0.04
scientists,0.04
solution,0.04
ideas,0.04
behavior,0.04
lead,0.04
nothing,0.04
rest,0.04
ball,0.04
along,0.04
reach,0.04
using,0.04
required,0.04
following,0.04
expand,0.04
behave,0.04
molecules,0.04
exclusion,0.04
antiparticle,0.04
area,0.04
published,0.037
support,0.037
taken,0.037
explanation,0.037
fluctuations,0.037
microwave,0.037
flat,0.037
ever,0.037
aristotle,0.037
appears,0.037
argument,0.037
stationary,0.037
relative,0.037
quite,0.037
finally,0.037
developed,0.037
massive,0.037
show,0.037
rotation,0.037
approach,0.037
average,0.037
allowed,0.037
equally,0.037
accurately,0.037
supposed,0.037
half,0.037
zeros,0.037
experiment,0.037
total,0.037
prize,0.037
detected,0.037
coordinates,0.037
below,0.037
spaceship,0.037
edge,0.037
scale,0.037
white,0.037
produced,0.037
photons,0.037
pairs,0.037
intelligent,0.037
plates,0.037
including,0.034
original,0.034
wrote,0.034
anything,0.034
questions,0.034
better,0.034
perhaps,0.034
length,0.034
else,0.034
reasons,0.034
ones,0.034
remain,0.034
roughly,0.034
static,0.034
attractive,0.034
proportional,0.034
while,0.034
provide,0.034
calculate,0.034
understanding,0.034
speeds,0.034
traveling,0.034
took,0.034
modern,0.034
physicist,0.034
wavelengths,0.034
alpha,0.034
goes,0.034
radius,0.034
points,0.034
pair,0.034
looks,0.034
configuration,0.034
fairly,0.034
friedmanns,0.034
velocities,0.034
masses,0.034
sources,0.034
electric,0.034
quark,0.034
elementary,0.032
nature,0.032
side,0.032
necessary,0.032
south,0.032
someone,0.032
physical,0.032
fast,0.032
race,0.032
observation,0.032
break,0.032
quantities,0.032
tells,0.032
basic,0.032
free,0.032
cancel,0.032
spiral,0.032
famous,0.032
equations,0.032
remarkable,0.032
normal,0.032
whose,0.032
cone,0.032
